target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
TB06_power_target_10min,xgboost,10min,98.994,150.1185,4.4997,6.8236,-5.9378,0.9388,1492.635,0.0555,0.0555,-0.0227,165.2195,22463,0,4433
TB06_power_target_10min,lightgbm,10min,97.7487,148.3114,4.4431,6.7414,-3.9824,0.9402,1522.7738,0.0669,0.0669,-0.0104,163.1991,22463,0,4433
TB06_power_target_30min,xgboost,30min,169.6373,242.1057,7.7108,11.0048,1.0097,0.8406,1849.7508,0.0828,0.0828,-0.0218,260.5595,22465,0,4435
TB06_power_target_30min,lightgbm,30min,164.6564,239.5094,7.4844,10.8868,-5.174,0.844,1876.7351,0.0926,0.0926,-0.0108,260.8582,22465,0,4435
TB06_power_target_1hour,xgboost,1hour,229.7991,315.2021,10.4454,14.3274,-3.0228,0.7298,1857.4685,0.0949,0.0949,-0.0417,337.0781,22465,0,4433
TB06_power_target_1hour,lightgbm,1hour,222.7305,311.3053,10.1241,14.1502,-11.2018,0.7364,1823.233,0.1061,0.1061,-0.0288,336.1705,22465,0,4433
TB06_power_target_6hour,xgboost,6hour,353.864,453.2887,16.0847,20.604,23.8514,0.4376,1807.0271,0.3928,0.3928,0.0054,471.7744,22305,0,4321
TB06_power_target_6hour,lightgbm,6hour,348.3001,451.2057,15.8318,20.5094,13.2354,0.4427,1848.6743,0.3956,0.3956,0.01,471.2367,22305,0,4321
TB06_power_target_24hour,xgboost,24hour,399.6403,504.365,18.1655,22.9257,17.1757,0.3033,1738.3447,0.1245,0.1245,-0.0605,512.3767,21563,0,4195
TB06_power_target_24hour,lightgbm,24hour,395.926,502.7984,17.9966,22.8545,5.3252,0.3077,1759.5423,0.1273,0.1273,-0.0572,513.3878,21563,0,4195
TB07_power_target_10min,xgboost,10min,98.4445,149.2206,4.4747,6.7828,2.9504,0.9335,1612.1412,0.0619,0.0619,-0.0145,161.2935,22137,0,3963
TB07_power_target_10min,lightgbm,10min,97.7474,148.4721,4.4431,6.7487,1.9453,0.9342,1641.5773,0.0666,0.0666,-0.0094,160.1466,22137,0,3963
TB07_power_target_30min,xgboost,30min,169.9291,243.6449,7.7241,11.0748,6.5751,0.8228,1914.241,0.073,0.073,-0.0168,258.5618,22143,0,3970
TB07_power_target_30min,lightgbm,30min,167.2597,242.9078,7.6027,11.0413,4.7781,0.8238,1926.2798,0.0758,0.0758,-0.0137,259.4509,22143,0,3970
TB07_power_target_1hour,xgboost,1hour,220.1902,308.4583,10.0086,14.0208,2.5702,0.7155,1901.8797,0.0971,0.0971,-0.0185,328.2394,22152,0,3973
TB07_power_target_1hour,lightgbm,1hour,221.7788,308.6467,10.0809,14.0294,1.0829,0.7151,1893.8441,0.0965,0.0965,-0.0191,327.9959,22152,0,3973
TB07_power_target_6hour,xgboost,6hour,341.1288,440.0128,15.5059,20.0006,5.3613,0.4196,1827.6251,0.3481,0.3481,0.0179,457.8647,22014,0,3918
TB07_power_target_6hour,lightgbm,6hour,333.7812,435.9875,15.1719,19.8176,-5.8708,0.4302,1882.6886,0.3536,0.3536,0.0269,456.7936,22014,0,3918
TB07_power_target_24hour,xgboost,24hour,400.0932,501.6406,18.1861,22.8018,16.5409,0.2504,1818.7478,0.1351,0.1351,-0.0529,504.8765,21235,0,3780
TB07_power_target_24hour,lightgbm,24hour,393.7253,497.9434,17.8966,22.6338,5.2898,0.2614,1811.4894,0.1442,0.1442,-0.0451,506.0426,21235,0,3780
TB08_power_target_10min,xgboost,10min,92.7734,146.019,4.217,6.6372,1.8941,0.9437,1575.9042,0.0759,0.0759,0.0002,159.7862,22465,0,4544
TB08_power_target_10min,lightgbm,10min,92.5783,145.9337,4.2081,6.6333,3.0191,0.9438,1639.5514,0.0764,0.0764,0.0008,159.714,22465,0,4544
TB08_power_target_30min,xgboost,30min,162.6408,240.045,7.3928,10.9111,6.2199,0.8479,2015.9948,0.0724,0.0724,-0.02,257.3215,22465,0,4544
TB08_power_target_30min,lightgbm,30min,158.4353,236.8724,7.2016,10.7669,1.6324,0.8519,1913.3663,0.0847,0.0847,-0.0065,257.2759,22465,0,4544
TB08_power_target_1hour,xgboost,1hour,223.8584,311.6633,10.1754,14.1665,7.77,0.7436,1883.3812,0.0838,0.0838,-0.0371,330.7624,22465,0,4544
TB08_power_target_1hour,lightgbm,1hour,214.1301,307.3326,9.7332,13.9697,-4.4074,0.7507,1870.1416,0.0965,0.0965,-0.0226,331.7885,22465,0,4544
TB08_power_target_6hour,xgboost,6hour,350.3797,452.2887,15.9264,20.5586,18.7304,0.4572,1756.635,0.3935,0.3935,-0.0011,472.9866,22297,0,4433
TB08_power_target_6hour,lightgbm,6hour,342.0272,451.8235,15.5467,20.5374,1.85,0.4583,1843.7234,0.3942,0.3942,-0.0001,477.3257,22297,0,4433
TB08_power_target_24hour,xgboost,24hour,411.8003,517.411,18.7182,23.5187,34.0827,0.2928,1769.8417,0.104,0.104,-0.0897,523.9982,21555,0,4317
