target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
TB04_power_target_6hour,persistence,6hour,556.9976,768.8943,25.3181,34.9497,-0.886,-0.434,2000.4,0.0,0.0,-0.6492,,22308,0,3898
TB04_power_target_6hour,ridge,6hour,366.239,466.2279,16.6472,21.1922,0.7246,0.4728,2063.0581,0.3936,0.3936,0.0,,22308,0,3898
TB05_power_target_10min,persistence,10min,94.2686,158.3818,4.2849,7.1992,0.1525,0.937,1717.0,0.0,0.0,-0.0609,,22116,0,4065
TB05_power_target_10min,ridge,10min,94.3923,149.3861,4.2906,6.7903,-1.5687,0.9439,1698.3985,0.0574,0.0574,0.0,,22120,0,4066
TB05_power_target_1hour,persistence,1hour,223.2766,357.5335,10.1489,16.2515,0.6599,0.6788,2000.7,0.0,0.0,-0.0976,,22116,0,4074
TB05_power_target_1hour,ridge,1hour,224.5087,325.9333,10.2049,14.8151,-9.1408,0.7329,1973.5621,0.0889,0.0889,0.0,,22140,0,4080
TB05_power_target_24hour,persistence,24hour,421.4462,610.3645,19.1566,27.7438,-15.5103,0.06,2001.3,0.0,0.0,-0.1036,,20868,0,3944
TB05_power_target_24hour,ridge,24hour,428.1592,558.4345,19.4618,25.3834,-57.7747,0.2131,3403.4373,0.0939,0.0939,0.0,,21217,0,3967
TB05_power_target_30min,persistence,30min,163.7544,269.5398,7.4434,12.2518,0.4151,0.8175,2000.7,0.0,0.0,-0.0752,,22116,0,4070
TB05_power_target_30min,ridge,30min,166.1719,250.8336,7.5533,11.4015,-4.5801,0.8419,2000.4019,0.07,0.07,0.0,,22128,0,4073
TB05_power_target_6hour,persistence,6hour,504.5057,700.3153,22.9321,31.8325,-2.8344,-0.236,2000.8,0.0,0.0,-0.3156,,21870,0,3991
TB05_power_target_6hour,ridge,6hour,387.6349,532.1139,17.6198,24.187,-10.7565,0.2849,5082.7097,0.2399,0.2399,0.0,,21996,0,4027
TB06_power_target_10min,persistence,10min,94.6957,158.9473,4.3044,7.2249,0.2199,0.9313,1559.1,0.0,0.0,-0.0828,,22462,0,4432
TB06_power_target_10min,ridge,10min,93.7339,146.7911,4.2606,6.6723,-3.1861,0.9414,1580.9498,0.0765,0.0765,0.0,,22463,0,4433
TB06_power_target_1hour,persistence,1hour,217.8009,348.2746,9.9,15.8307,1.2243,0.6701,1995.5,0.0,0.0,-0.1509,,22462,0,4433
TB06_power_target_1hour,ridge,1hour,211.4485,302.585,9.6113,13.7539,-5.8346,0.751,2066.6256,0.1311,0.1311,0.0,,22465,0,4433
TB06_power_target_24hour,persistence,24hour,389.4016,576.1438,17.7001,26.1884,-5.366,0.0911,2001.9,0.0,0.0,-0.2113,,21560,0,4195
TB06_power_target_24hour,ridge,24hour,367.5545,475.6092,16.707,21.6186,-16.1515,0.3805,1847.4698,0.1744,0.1744,0.0,,21563,0,4195
TB06_power_target_30min,persistence,30min,160.9674,263.9683,7.3167,11.9986,0.517,0.8105,1995.5,0.0,0.0,-0.114,,22462,0,4432
TB06_power_target_30min,ridge,30min,158.8925,236.9439,7.2224,10.7702,-6.4105,0.8473,1999.6256,0.1023,0.1023,0.0,,22465,0,4435
TB06_power_target_6hour,persistence,6hour,536.388,746.5526,24.3813,33.9342,-1.3739,-0.5255,2002.2,0.0,0.0,-0.6382,,22302,0,4318
TB06_power_target_6hour,ridge,6hour,354.8491,455.7502,16.1295,20.7159,2.1843,0.4315,2127.6511,0.3896,0.3896,0.0,,22305,0,4321
TB07_power_target_10min,persistence,10min,95.5574,159.0015,4.3435,7.2273,-0.0005,0.9245,1683.5,0.0,0.0,-0.081,,22134,0,3963
TB07_power_target_10min,ridge,10min,93.3431,147.0854,4.2429,6.6857,-1.9407,0.9354,1700.4942,0.075,0.075,0.0,,22137,0,3963
TB07_power_target_1hour,persistence,1hour,216.9951,341.554,9.8634,15.5252,1.1348,0.6513,2000.3,0.0,0.0,-0.1276,,22134,0,3973
TB07_power_target_1hour,ridge,1hour,210.6014,302.8701,9.5728,13.7668,-6.5716,0.7257,2092.392,0.1132,0.1132,0.0,,22152,0,3973
TB07_power_target_24hour,persistence,24hour,393.2929,576.094,17.877,26.1861,-13.4979,0.0077,2000.5,0.0,0.0,-0.2136,,20904,0,3762
TB07_power_target_24hour,ridge,24hour,366.265,476.4436,16.6484,21.6565,-21.3792,0.3238,2186.6967,0.176,0.176,0.0,,21235,0,3780
TB07_power_target_30min,persistence,30min,161.6969,262.7869,7.3499,11.9449,0.4292,0.7939,1999.6,0.0,0.0,-0.0966,,22134,0,3970
TB07_power_target_30min,ridge,30min,159.7923,239.6259,7.2633,10.8921,-3.9324,0.8286,2032.7637,0.0881,0.0881,0.0,,22143,0,3970
TB07_power_target_6hour,persistence,6hour,490.571,675.5452,22.2987,30.7066,-2.7025,-0.3655,1996.4,0.0,0.0,-0.5068,,21906,0,3896
TB07_power_target_6hour,ridge,6hour,343.0781,448.0403,15.5945,20.3655,-1.3754,0.3982,2164.8099,0.3363,0.3363,0.0,,22014,0,3918
TB08_power_target_10min,persistence,10min,91.4269,158.0087,4.1558,7.1822,0.1562,0.9341,1887.7,0.0,0.0,-0.0819,,22465,0,4544
TB08_power_target_10min,ridge,10min,89.5986,146.0439,4.0727,6.6384,-3.8311,0.9437,1531.0522,0.0757,0.0757,0.0,,22465,0,4544
TB08_power_target_1hour,persistence,1hour,208.817,340.1595,9.4917,15.4618,1.1306,0.6946,2000.4,0.0,0.0,-0.1319,,22465,0,4544
TB08_power_target_1hour,ridge,1hour,206.1203,300.5277,9.3691,13.6604,-7.1044,0.7616,2054.6763,0.1165,0.1165,0.0,,22465,0,4544
TB08_power_target_24hour,persistence,24hour,384.4302,577.4578,17.4741,26.2481,-8.4164,0.1191,2000.8,0.0,0.0,-0.2162,,21555,0,4317
TB08_power_target_24hour,ridge,24hour,363.3851,474.8055,16.5175,21.5821,-9.3294,0.4045,1780.518,0.1778,0.1778,0.0,,21555,0,4317
TB08_power_target_30min,persistence,30min,154.1762,258.7905,7.008,11.7632,0.4714,0.8232,2000.4,0.0,0.0,-0.0997,,22465,0,4544
TB08_power_target_30min,ridge,30min,153.3667,235.3347,6.9712,10.697,-7.373,0.8538,1823.3535,0.0906,0.0906,0.0,,22465,0,4544
TB08_power_target_6hour,persistence,6hour,528.4946,745.7738,24.0225,33.8988,-1.9339,-0.4758,2001.4,0.0,0.0,-0.6507,,22297,0,4433
TB08_power_target_6hour,ridge,6hour,349.8094,451.7854,15.9004,20.5357,1.4125,0.4584,1991.8766,0.3942,0.3942,0.0,,22297,0,4433
TB09_power_target_10min,persistence,10min,86.8945,153.7899,3.9498,6.9905,0.2807,0.9377,1894.7,0.0,0.0,-0.0531,,22465,0,4727
TB09_power_target_10min,ridge,10min,88.059,146.0422,4.0027,6.6383,-1.1232,0.9438,1816.7515,0.0504,0.0504,0.0,,22465,0,4727
TB09_power_target_1hour,persistence,1hour,206.9745,347.3866,9.4079,15.7903,1.8386,0.6816,2000.8,0.0,0.0,-0.1307,,22465,0,4734
TB09_power_target_1hour,ridge,1hour,207.3356,307.2444,9.4243,13.9657,-3.0418,0.7509,1950.9401,0.1156,0.1156,0.0,,22465,0,4734
TB09_power_target_24hour,persistence,24hour,377.7222,574.5902,17.1692,26.1177,-1.2719,0.124,2000.8,0.0,0.0,-0.1909,,21566,0,4525
TB09_power_target_24hour,ridge,24hour,366.7688,482.5,16.6713,21.9318,26.3884,0.3823,2340.5157,0.1603,0.1603,0.0,,21566,0,4525
TB09_power_target_30min,persistence,30min,149.2346,259.0896,6.7834,11.7768,1.0524,0.823,2000.8,0.0,0.0,-0.0802,,22465,0,4729
TB09_power_target_30min,ridge,30min,153.8034,239.8457,6.9911,10.9021,-2.3684,0.8483,1937.1563,0.0743,0.0743,0.0,,22465,0,4729
TB09_power_target_6hour,persistence,6hour,540.4861,758.3505,24.5675,34.4705,-0.5892,-0.5279,2000.7,0.0,0.0,-0.6642,,22308,0,4612
TB09_power_target_6hour,ridge,6hour,356.4581,455.6815,16.2026,20.7128,14.6104,0.4483,1851.4077,0.3991,0.3991,0.0,,22308,0,4612
TB10_power_target_10min,persistence,10min,90.5447,150.1002,4.1157,6.8227,0.1058,0.931,1785.3,0.0,0.0,-0.0722,,22134,0,4238
TB10_power_target_10min,ridge,10min,88.4739,140.0665,4.0215,6.3667,3.5199,0.9399,1776.8414,0.0674,0.0674,0.0,,22137,0,4238
TB10_power_target_1hour,persistence,1hour,206.7656,327.0178,9.3984,14.8644,1.1157,0.6721,1999.5,0.0,0.0,-0.139,,22134,0,4234
TB10_power_target_1hour,ridge,1hour,198.7169,287.0277,9.0326,13.0467,2.8924,0.7473,2011.4397,0.122,0.122,0.0,,22152,0,4234
TB10_power_target_24hour,persistence,24hour,374.4791,548.7505,17.0218,24.9432,-11.9642,0.0733,2001.5,0.0,0.0,-0.2096,,20903,0,4022
TB10_power_target_24hour,ridge,24hour,349.9447,455.1311,15.9066,20.6878,-0.4426,0.3654,1737.36,0.1733,0.1733,0.0,,21234,0,4056
TB10_power_target_30min,persistence,30min,152.2879,247.6269,6.9222,11.2558,0.5967,0.8121,1999.5,0.0,0.0,-0.0933,,22134,0,4237
TB10_power_target_30min,ridge,30min,149.3836,226.5235,6.7902,10.2965,4.4543,0.8427,2053.4953,0.0853,0.0853,0.0,,22143,0,4237
TB10_power_target_6hour,persistence,6hour,488.4027,681.9945,22.2001,30.9997,-2.5572,-0.4258,1999.5,0.0,0.0,-0.5653,,21905,0,4104
TB10_power_target_6hour,ridge,6hour,333.4083,434.9998,15.1549,19.7727,16.7165,0.4188,2022.8382,0.3611,0.3611,0.0,,22013,0,4142
TB11_power_target_10min,persistence,10min,94.4922,160.2844,4.2951,7.2857,0.1605,0.9297,1737.9,0.0,0.0,-0.0769,,22464,0,4620
TB11_power_target_10min,ridge,10min,92.8396,148.8367,4.22,6.7653,-0.9434,0.9394,1627.1836,0.0714,0.0714,0.0,,22465,0,4620
TB11_power_target_1hour,persistence,1hour,216.2935,348.733,9.8315,15.8515,0.6052,0.6674,1962.4,0.0,0.0,-0.1419,,22464,0,4611
TB11_power_target_1hour,ridge,1hour,211.7428,305.383,9.6247,13.881,-3.4006,0.7449,2098.9966,0.1243,0.1243,0.0,,22465,0,4611
TB11_power_target_24hour,persistence,24hour,396.6375,585.325,18.029,26.6057,-8.6625,0.0616,2001.6,0.0,0.0,-0.2194,,21564,0,4381
TB11_power_target_24hour,ridge,24hour,370.6109,480.0426,16.8459,21.8201,-17.7178,0.3688,1846.5302,0.1799,0.1799,0.0,,21565,0,4381
TB11_power_target_30min,persistence,30min,159.9731,265.0499,7.2715,12.0477,0.2368,0.8078,1983.2,0.0,0.0,-0.101,,22464,0,4617
TB11_power_target_30min,ridge,30min,159.0877,240.7211,7.2313,10.9419,-1.9308,0.8415,1892.7237,0.0918,0.0918,0.0,,22465,0,4617
TB11_power_target_6hour,persistence,6hour,528.5257,733.487,24.0239,33.3403,-3.22,-0.4771,2000.8,0.0,0.0,-0.6125,,22307,0,4486
TB11_power_target_6hour,ridge,6hour,355.0824,454.8643,16.1401,20.6757,8.0809,0.4319,2096.5446,0.3798,0.3798,0.0,,22308,0,4487
TB12_power_target_10min,persistence,10min,83.1867,151.1745,3.7812,6.8716,0.2535,0.9267,1644.7,0.0,0.0,-0.0305,,21589,0,6199
TB12_power_target_10min,ridge,10min,90.0515,146.6997,4.0933,6.6682,7.1708,0.931,1620.3294,0.0296,0.0296,0.0,,21591,0,6201
TB12_power_target_1hour,persistence,1hour,189.7274,323.5067,8.624,14.7048,1.1635,0.6643,1997.3,0.0,0.0,-0.1001,,21589,0,6215
TB12_power_target_1hour,ridge,1hour,205.2038,294.4307,9.3274,13.3832,21.0192,0.7219,2062.6849,0.091,0.091,0.0,,21596,0,6222
TB12_power_target_24hour,persistence,24hour,391.5873,594.5089,17.7994,27.0231,4.8223,-0.1313,2001.3,0.0,0.0,-0.2162,,20675,0,5866
TB12_power_target_24hour,ridge,24hour,384.6904,493.319,17.4859,22.4236,71.3965,0.2193,1880.5276,0.1778,0.1778,0.0,,20820,0,6010
TB12_power_target_30min,persistence,30min,140.1121,248.3976,6.3687,11.2908,0.6173,0.8021,1990.8,0.0,0.0,-0.0629,,21589,0,6209
TB12_power_target_30min,ridge,30min,153.4497,233.7737,6.975,10.6261,15.4884,0.8247,2025.4693,0.0592,0.0592,0.0,,21593,0,6213
TB12_power_target_6hour,persistence,6hour,449.4802,660.8882,20.4309,30.0404,1.319,-0.4069,2000.2,0.0,0.0,-0.4251,,21430,0,6068
TB12_power_target_6hour,ridge,6hour,359.4807,464.612,16.34,21.1187,64.9987,0.3043,2125.7114,0.2983,0.2983,0.0,,21467,0,6105
farm_total_power_target_10min,persistence,10min,746.3783,1252.2204,2.8272,4.7433,1.8099,0.9669,15937.3,0.0,0.0,-0.0559,,22465,0,3636
farm_total_power_target_10min,ridge,10min,734.8585,1185.9391,2.7836,4.4922,-19.6415,0.9703,16010.9745,0.0529,0.0529,0.0,,22465,0,3636
farm_total_power_target_1hour,persistence,1hour,2192.3599,3461.7987,8.3044,13.1129,13.7713,0.7468,23700.7,0.0,0.0,-0.1105,,22465,0,3627
farm_total_power_target_1hour,ridge,1hour,2168.2227,3117.4142,8.213,11.8084,-35.1438,0.7947,20877.4619,0.0995,0.0995,0.0,,22465,0,3627
farm_total_power_target_24hour,persistence,24hour,4566.9808,6629.7162,17.2992,25.1126,262.1691,0.0648,24001.7,0.0,0.0,-0.2017,,22465,0,4352
farm_total_power_target_24hour,ridge,24hour,4327.3798,5516.7916,16.3916,20.8969,280.8322,0.3525,21157.5287,0.1679,0.1679,0.0,,22465,0,4352
farm_total_power_target_30min,persistence,30min,1503.0893,2450.887,5.6935,9.2837,6.9193,0.8732,23511.1,0.0,0.0,-0.0641,,22465,0,3633
farm_total_power_target_30min,ridge,30min,1519.8097,2303.2144,5.7569,8.7243,-33.0449,0.888,20805.4393,0.0603,0.0603,0.0,,22465,0,3633
farm_total_power_target_6hour,persistence,6hour,5899.1441,8122.32,22.3452,30.7664,30.0564,-0.4034,23442.9,0.0,0.0,-0.6102,,22465,0,3687
farm_total_power_target_6hour,ridge,6hour,3963.4083,5044.4055,15.0129,19.1076,141.6297,0.4587,21794.1579,0.3789,0.3789,0.0,,22465,0,3687
