model_key,target,n_features,leaked_future_columns,leakage_free
TB10_power_target_10min_lightgbm,TB10_power_target_10min,150,[],True
TB10_power_target_30min_xgboost,TB10_power_target_30min,150,[],True
TB10_power_target_30min_lightgbm,TB10_power_target_30min,150,[],True
TB10_power_target_1hour_xgboost,TB10_power_target_1hour,150,[],True
TB10_power_target_1hour_lightgbm,TB10_power_target_1hour,150,[],True
TB10_power_target_6hour_xgboost,TB10_power_target_6hour,150,[],True
TB10_power_target_6hour_lightgbm,TB10_power_target_6hour,150,[],True
TB10_power_target_24hour_xgboost,TB10_power_target_24hour,150,[],True
TB10_power_target_24hour_lightgbm,TB10_power_target_24hour,150,[],True
TB11_power_target_10min_xgboost,TB11_power_target_10min,150,[],True
TB11_power_target_10min_lightgbm,TB11_power_target_10min,150,[],True
TB11_power_target_30min_xgboost,TB11_power_target_30min,150,[],True
TB11_power_target_30min_lightgbm,TB11_power_target_30min,150,[],True
TB11_power_target_1hour_xgboost,TB11_power_target_1hour,150,[],True
TB11_power_target_1hour_lightgbm,TB11_power_target_1hour,150,[],True
TB11_power_target_6hour_xgboost,TB11_power_target_6hour,150,[],True
TB11_power_target_6hour_lightgbm,TB11_power_target_6hour,150,[],True
TB11_power_target_24hour_xgboost,TB11_power_target_24hour,150,[],True
TB11_power_target_24hour_lightgbm,TB11_power_target_24hour,150,[],True
TB12_power_target_10min_xgboost,TB12_power_target_10min,150,[],True
TB12_power_target_10min_lightgbm,TB12_power_target_10min,150,[],True
TB12_power_target_30min_xgboost,TB12_power_target_30min,150,[],True
TB12_power_target_30min_lightgbm,TB12_power_target_30min,150,[],True
TB12_power_target_1hour_xgboost,TB12_power_target_1hour,150,[],True
TB12_power_target_1hour_lightgbm,TB12_power_target_1hour,150,[],True
TB12_power_target_6hour_xgboost,TB12_power_target_6hour,150,[],True
TB12_power_target_6hour_lightgbm,TB12_power_target_6hour,150,[],True
TB12_power_target_24hour_xgboost,TB12_power_target_24hour,150,[],True
TB12_power_target_24hour_lightgbm,TB12_power_target_24hour,150,[],True
farm_total_power_target_10min_xgboost,farm_total_power_target_10min,150,[],True
farm_total_power_target_10min_lightgbm,farm_total_power_target_10min,150,[],True
farm_total_power_target_30min_xgboost,farm_total_power_target_30min,150,[],True
farm_total_power_target_30min_lightgbm,farm_total_power_target_30min,150,[],True
farm_total_power_target_1hour_xgboost,farm_total_power_target_1hour,150,[],True
farm_total_power_target_1hour_lightgbm,farm_total_power_target_1hour,150,[],True
farm_total_power_target_6hour_xgboost,farm_total_power_target_6hour,150,[],True
farm_total_power_target_6hour_lightgbm,farm_total_power_target_6hour,150,[],True
farm_total_power_target_24hour_xgboost,farm_total_power_target_24hour,150,[],True
farm_total_power_target_24hour_lightgbm,farm_total_power_target_24hour,150,[],True
