fold,model,target,mae,rmse,r2,n_val
2,lightgbm,TB03_power_target_1hour,236.8441,330.6304,0.6959,43745
3,xgboost,TB03_power_target_1hour,271.5194,359.9105,0.6827,36087
3,lightgbm,TB03_power_target_1hour,252.7575,348.0716,0.7033,36087
1,xgboost,TB03_power_target_6hour,424.9072,530.5141,0.2784,45892
1,lightgbm,TB03_power_target_6hour,413.3342,521.0994,0.3038,45892
2,xgboost,TB03_power_target_6hour,383.9235,482.3138,0.3535,43579
2,lightgbm,TB03_power_target_6hour,359.3588,465.1023,0.3988,43579
3,xgboost,TB03_power_target_6hour,400.6135,504.1661,0.3758,36054
3,lightgbm,TB03_power_target_6hour,388.8712,498.375,0.3901,36054
1,xgboost,TB03_power_target_24hour,490.8002,596.1087,0.089,45569
1,lightgbm,TB03_power_target_24hour,466.4597,577.2033,0.1459,45569
2,xgboost,TB03_power_target_24hour,461.7466,556.8326,0.1308,44902
2,lightgbm,TB03_power_target_24hour,446.8999,544.7901,0.168,44902
3,xgboost,TB03_power_target_24hour,489.545,592.2301,0.1449,44284
3,lightgbm,TB03_power_target_24hour,469.4383,580.2689,0.1791,44284
1,xgboost,TB04_power_target_10min,106.4961,167.5082,0.9324,46068
1,lightgbm,TB04_power_target_10min,104.7258,166.9013,0.9329,46068
2,xgboost,TB04_power_target_10min,98.8316,154.7749,0.9415,43804
2,lightgbm,TB04_power_target_10min,95.2344,152.5503,0.9432,43804
3,xgboost,TB04_power_target_10min,101.8323,154.8678,0.947,36099
3,lightgbm,TB04_power_target_10min,102.1477,154.7109,0.9471,36099
1,xgboost,TB04_power_target_30min,196.4784,279.8394,0.8113,46067
1,lightgbm,TB04_power_target_30min,186.4203,272.4441,0.8211,46067
2,xgboost,TB04_power_target_30min,190.4239,265.7885,0.8275,43794
2,lightgbm,TB04_power_target_30min,174.826,254.9823,0.8412,43794
3,xgboost,TB04_power_target_30min,184.7994,265.9547,0.8439,36097
3,lightgbm,TB04_power_target_30min,179.2219,260.8892,0.8498,36097
1,xgboost,TB04_power_target_1hour,257.4245,350.3231,0.7043,46058
1,lightgbm,TB04_power_target_1hour,245.756,343.085,0.7164,46058
2,xgboost,TB04_power_target_1hour,243.8596,333.4271,0.7285,43785
2,lightgbm,TB04_power_target_1hour,231.1822,324.6619,0.7426,43785
3,xgboost,TB04_power_target_1hour,260.3553,352.232,0.7263,36085
3,lightgbm,TB04_power_target_1hour,242.8185,342.0199,0.7419,36085
1,xgboost,TB04_power_target_6hour,414.8378,522.4132,0.3434,46045
1,lightgbm,TB04_power_target_6hour,404.6309,513.8889,0.3646,46045
2,xgboost,TB04_power_target_6hour,373.4397,481.294,0.4337,43769
2,lightgbm,TB04_power_target_6hour,362.9941,472.9185,0.4532,43769
3,xgboost,TB04_power_target_6hour,393.8066,505.481,0.436,36059
3,lightgbm,TB04_power_target_6hour,386.3217,500.4349,0.4472,36059
1,xgboost,TB04_power_target_24hour,467.255,585.152,0.1757,46054
1,lightgbm,TB04_power_target_24hour,459.5062,581.6344,0.1856,46054
2,xgboost,TB04_power_target_24hour,459.5398,564.2464,0.2173,45680
2,lightgbm,TB04_power_target_24hour,446.0525,555.011,0.2428,45680
3,xgboost,TB04_power_target_24hour,487.9843,608.2816,0.2056,44283
3,lightgbm,TB04_power_target_24hour,484.8211,606.5727,0.2101,44283
1,xgboost,TB05_power_target_10min,119.4057,176.8143,0.9259,46073
1,lightgbm,TB05_power_target_10min,108.4285,170.8777,0.9308,46073
2,xgboost,TB05_power_target_10min,103.955,164.4355,0.9353,43793
2,lightgbm,TB05_power_target_10min,102.2452,162.2637,0.937,43793
3,xgboost,TB05_power_target_10min,106.5602,172.9141,0.9333,36049
3,lightgbm,TB05_power_target_10min,105.4514,170.3734,0.9353,36049
1,xgboost,TB05_power_target_30min,192.256,279.4858,0.8149,46072
1,lightgbm,TB05_power_target_30min,192.0452,279.1259,0.8154,46072
2,xgboost,TB05_power_target_30min,196.5876,273.3191,0.8213,43776
2,lightgbm,TB05_power_target_30min,189.6373,267.8238,0.8284,43776
3,xgboost,TB05_power_target_30min,198.2462,284.5431,0.8194,36061
3,lightgbm,TB05_power_target_30min,190.2657,279.0257,0.8263,36061
1,xgboost,TB05_power_target_1hour,265.4964,360.2323,0.6927,46052
1,lightgbm,TB05_power_target_1hour,253.3191,352.1844,0.7063,46052
2,xgboost,TB05_power_target_1hour,250.0056,340.05,0.7235,43742
2,lightgbm,TB05_power_target_1hour,238.3664,333.6607,0.7338,43742
3,xgboost,TB05_power_target_1hour,276.2151,368.676,0.6966,36024
3,lightgbm,TB05_power_target_1hour,259.1631,356.8928,0.7157,36024
1,xgboost,TB05_power_target_6hour,473.3485,577.5363,0.2115,46052
1,lightgbm,TB05_power_target_6hour,462.0624,566.3157,0.2419,46052
2,xgboost,TB05_power_target_6hour,393.6692,496.7266,0.4111,43507
2,lightgbm,TB05_power_target_6hour,388.6042,496.532,0.4116,43507
3,xgboost,TB05_power_target_6hour,417.0936,521.0944,0.3931,35648
3,lightgbm,TB05_power_target_6hour,406.5999,517.882,0.4006,35648
1,xgboost,TB05_power_target_24hour,502.6606,611.6724,0.1148,46052
1,lightgbm,TB05_power_target_24hour,492.3846,605.4052,0.1329,46052
2,xgboost,TB05_power_target_24hour,504.5443,600.7229,0.1398,42756
2,lightgbm,TB05_power_target_24hour,487.1303,584.5596,0.1854,42756
3,xgboost,TB05_power_target_24hour,498.3966,606.4831,0.1636,34574
3,lightgbm,TB05_power_target_24hour,491.3841,602.408,0.1748,34574
1,xgboost,TB06_power_target_10min,111.7501,172.3899,0.9187,46072
1,lightgbm,TB06_power_target_10min,104.2919,168.1368,0.9226,46072
2,xgboost,TB06_power_target_10min,96.9638,155.6489,0.9317,43798
2,lightgbm,TB06_power_target_10min,96.875,154.0098,0.9331,43798
3,xgboost,TB06_power_target_10min,108.1167,160.3517,0.9356,36094
3,lightgbm,TB06_power_target_10min,99.8847,155.6223,0.9394,36094
1,xgboost,TB06_power_target_30min,185.7227,271.8648,0.7977,46065
1,lightgbm,TB06_power_target_30min,178.3565,266.934,0.805,46065
2,xgboost,TB06_power_target_30min,177.495,253.0333,0.8195,43791
2,lightgbm,TB06_power_target_30min,170.891,250.8608,0.8226,43791
3,xgboost,TB06_power_target_30min,182.6754,259.7085,0.8312,36085
3,lightgbm,TB06_power_target_30min,177.7681,257.2201,0.8344,36085
1,xgboost,TB06_power_target_1hour,247.4174,339.7695,0.6841,46056
1,lightgbm,TB06_power_target_1hour,236.4763,332.2063,0.698,46056
2,xgboost,TB06_power_target_1hour,236.0859,321.9596,0.7077,43782
