fold,model,target,mae,rmse,r2,n_val
2,lightgbm,farm_total_power_target_1hour,2376.4196,3291.2339,0.773,43797
3,xgboost,farm_total_power_target_1hour,2556.5898,3531.5267,0.7658,36094
3,lightgbm,farm_total_power_target_1hour,2510.123,3507.7455,0.7689,36094
1,xgboost,farm_total_power_target_6hour,4517.4307,5676.558,0.3654,46056
1,lightgbm,farm_total_power_target_6hour,4363.4808,5536.432,0.3963,46056
2,xgboost,farm_total_power_target_6hour,3945.4746,5071.3322,0.4604,43790
2,lightgbm,farm_total_power_target_6hour,3872.2679,5037.6734,0.4675,43790
3,xgboost,farm_total_power_target_6hour,4202.8205,5370.2171,0.4573,36109
3,lightgbm,farm_total_power_target_6hour,4135.3603,5327.1546,0.466,36109
1,xgboost,farm_total_power_target_24hour,5225.5166,6487.4021,0.17,46056
1,lightgbm,farm_total_power_target_24hour,5090.7434,6389.3305,0.1949,46056
2,xgboost,farm_total_power_target_24hour,5263.461,6312.045,0.1538,45676
2,lightgbm,farm_total_power_target_24hour,5035.456,6096.5893,0.2106,45676
3,xgboost,farm_total_power_target_24hour,5281.9925,6462.4023,0.1943,44354
3,lightgbm,farm_total_power_target_24hour,5117.8418,6340.369,0.2245,44354
