timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-16,2026-01-16,TB06,1440,330.62,0.0,1200.27,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB06,1440,306.79,0.0,1158.53,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB07,10,56.26,0.0,292.81,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB07,10,60.14,0.0,298.44,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB07,30,90.77,0.0,483.31,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB07,30,86.21,0.0,478.59,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB07,60,115.32,0.0,628.2,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB07,60,112.33,0.0,626.66,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB07,360,137.8,0.0,879.54,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB07,360,198.47,0.0,941.59,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB07,1440,326.29,0.0,1181.82,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB07,1440,309.75,0.0,1164.75,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB08,10,60.81,0.0,286.1,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB08,10,64.26,0.0,288.75,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB08,30,83.7,0.0,458.65,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB08,30,82.99,0.0,462.15,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB08,60,98.81,0.0,597.26,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB08,60,100.99,0.0,601.15,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB08,360,329.47,0.0,1109.06,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB08,360,256.29,0.0,1025.36,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB08,1440,308.51,0.0,1193.84,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB08,1440,327.52,0.0,1184.21,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB09,10,107.19,4.29,327.41,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB09,10,111.06,7.21,333.67,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB09,30,120.15,0.0,499.96,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB09,30,126.86,0.0,502.97,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB09,60,141.65,0.0,648.5,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB09,60,152.2,0.0,667.18,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB09,360,93.6,0.0,813.28,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB09,360,186.29,0.0,904.81,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB09,1440,328.77,0.0,1201.65,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB09,1440,334.79,0.0,1188.17,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB10,10,37.45,0.0,258.6,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB10,10,35.19,0.0,255.89,2.0.0_xgboost,production
