timestamp,ramp_type,expected_change,probability,threshold,affected_turbines,method,confirmed,verification_status
2026-05-26T16:30:00.000000000,ramp_down,-1.0629,0.2126,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-05-26T17:00:00.000000000,ramp_up,1.4471,0.2894,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:10:00.000000000,ramp_down,-1.2054,0.2411,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:30:00.000000000,ramp_up,1.5403,0.3081,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:40:00.000000000,ramp_down,-1.1518,0.2304,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-05-29T01:20:00.000000000,ramp_up,1.4073,0.2815,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-06-01T10:40:00.000000000,ramp_up,1.1386,0.2277,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-06-02T00:00:00.000000000,ramp_down,-1.7079,0.3416,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-06-23T14:50:00.000000000,ramp_down,-1.56,0.312,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-06-23T15:30:00.000000000,ramp_up,1.002,0.2004,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-07-01T00:00:00.000000000,ramp_up,1.3208,0.2642,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-07-02T00:00:00.000000000,ramp_down,-1.3391,0.2678,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-07-18T16:00:00.000000000,ramp_down,-1.2492,0.2498,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-07-18T16:30:00.000000000,ramp_up,1.9553,0.3911,0.1,TB03,heuristic_screening,False,SCREENING_ONLY
2026-01-21T11:20:00.000000000,ramp_up,1.0324,0.2065,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-02-01T10:50:00.000000000,ramp_up,1.0835,0.2167,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
