target,model,horizon,nominal_confidence,empirical_coverage,mean_interval_width,calibration_error,n_samples,scope
TB10,ALL_MODELS,all,0.9,0.7215,1672.06,0.1785,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.95,0.7616,2145.17,0.1884,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.99,0.7937,2885.8,0.1963,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.5,0.4009,187.0,0.0991,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.8,0.6414,479.82,0.1586,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.9,0.7215,720.9,0.1785,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.95,0.7616,981.74,0.1884,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.99,0.7937,1623.29,0.1963,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.5,0.4009,501.72,0.0991,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.8,0.6414,1042.78,0.1586,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.9,0.7215,1459.05,0.1785,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.95,0.7616,1781.71,0.1884,56464,per_turbine_breakdown
TB10,ALL_MODELS,all,0.99,0.7937,2390.81,0.1963,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.5,0.4067,102.34,0.0933,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.8,0.6508,304.15,0.1492,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.9,0.7321,476.01,0.1679,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.95,0.7727,651.77,0.1773,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.99,0.8053,1088.18,0.1847,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.5,0.4067,300.06,0.0933,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.8,0.6508,719.14,0.1492,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.9,0.7321,1046.06,0.1679,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.95,0.7727,1366.91,0.1773,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.99,0.8053,2074.86,0.1847,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.5,0.4067,696.25,0.0933,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.8,0.6508,1244.2,0.1492,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.9,0.7321,1726.75,0.1679,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.95,0.7727,2141.89,0.1773,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.99,0.8053,2877.0,0.1847,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.5,0.4067,219.84,0.0933,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.8,0.6508,523.07,0.1492,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.9,0.7321,798.25,0.1679,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.95,0.7727,1068.14,0.1773,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.99,0.8053,1698.2,0.1847,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.5,0.4067,551.77,0.0933,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.8,0.6508,1136.53,0.1492,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.9,0.7321,1531.23,0.1679,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.95,0.7727,1889.13,0.1773,56464,per_turbine_breakdown
TB11,ALL_MODELS,all,0.99,0.8053,2558.02,0.1847,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.5,0.3908,109.22,0.1092,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.8,0.6252,341.57,0.1748,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.9,0.7034,579.88,0.1966,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.95,0.7424,841.27,0.2076,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.99,0.7737,1849.53,0.2163,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.5,0.3908,307.21,0.1092,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.8,0.6252,769.89,0.1748,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.9,0.7034,1142.91,0.1966,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.95,0.7424,1484.42,0.2076,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.99,0.7737,2065.35,0.2163,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.5,0.3908,690.14,0.1092,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.8,0.6252,1209.97,0.1748,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.9,0.7034,1722.89,0.1966,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.95,0.7424,2182.18,0.2076,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.99,0.7737,2920.95,0.2163,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.5,0.3908,218.17,0.1092,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.8,0.6252,567.45,0.1748,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.9,0.7034,879.17,0.1966,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.95,0.7424,1222.07,0.2076,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.99,0.7737,1964.92,0.2163,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.5,0.3908,563.63,0.1092,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.8,0.6252,1166.9,0.1748,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.9,0.7034,1578.53,0.1966,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.95,0.7424,1926.76,0.2076,56464,per_turbine_breakdown
TB12,ALL_MODELS,all,0.99,0.7737,2560.99,0.2163,56464,per_turbine_breakdown
farm,ALL_MODELS,all,0.5,0.5,1294.07,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.8,0.8,2028.92,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.9,0.9,3266.72,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.95,0.95,4635.4,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.99,0.99,8127.92,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.5,0.5001,4336.43,0.0001,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.8,0.8,6172.8,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.9,0.9,9383.25,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.95,0.95,12804.67,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.99,0.99,20598.35,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.5,0.592,8165.83,0.092,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.8,0.8,13109.28,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.9,0.9,18536.48,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.95,0.95,23381.33,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.99,0.99,32206.72,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.5,0.5,3184.31,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.8,0.9521,9612.64,0.1521,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.9,0.9521,9612.64,0.0521,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.95,0.9521,9612.64,0.0021,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.99,0.99,15676.71,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.5,0.5,8019.42,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.8,0.8,13537.0,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.9,0.9,17987.46,0.0,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.95,0.9577,20231.87,0.0077,28232,per_turbine_breakdown
farm,ALL_MODELS,all,0.99,0.99,26632.66,0.0,28232,per_turbine_breakdown
TB12 (all models/horizons),ALL_MODELS,all,0.5,0.3908,377.67,0.1092,282320,tb12_vs_others
TB12 (all models/horizons),ALL_MODELS,all,0.8,0.6252,811.16,0.1748,282320,tb12_vs_others
TB12 (all models/horizons),ALL_MODELS,all,0.9,0.7034,1180.68,0.1966,282320,tb12_vs_others
TB12 (all models/horizons),ALL_MODELS,all,0.95,0.7424,1531.34,0.2076,282320,tb12_vs_others
TB12 (all models/horizons),ALL_MODELS,all,0.99,0.7737,2272.35,0.2163,282320,tb12_vs_others
TB01..TB11 (all models/horizons),ALL_MODELS,all,0.5,0.4148,753.58,0.0852,3246680,tb12_vs_others
TB01..TB11 (all models/horizons),ALL_MODELS,all,0.8,0.6633,1460.2,0.1367,3246680,tb12_vs_others
TB01..TB11 (all models/horizons),ALL_MODELS,all,0.9,0.7441,2004.11,0.1559,3246680,tb12_vs_others
TB01..TB11 (all models/horizons),ALL_MODELS,all,0.95,0.7847,2493.03,0.1653,3246680,tb12_vs_others
TB01..TB11 (all models/horizons),ALL_MODELS,all,0.99,0.8176,3632.03,0.1724,3246680,tb12_vs_others
