model_key                   , status, target_column_not_in_X, future_timestamp_not_used, fit_only_on_train, prediction_timestamp_gt_issue, duplicated_rows, feature_leakage, target_leakage, failed_checks
ModelStatusTB07_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB07_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB08_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
